film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture
It's Tough to Be a Bird,1969,1.0,1.0,0.0,0.0,0.0,,,,,
Bob & Carol & Ted & Alice,1969,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Oh! What a Lovely War,1969,,,,,,1.0,1.0,0.0,0.0,0.0
"They Shoot Horses, Don't They?",1969,9.0,1.0,4.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0
Of Men and Demons,1969,1.0,0.0,0.0,0.0,0.0,,,,,
"Goodbye, Columbus",1969,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Popi,1969,,,,,,1.0,0.0,1.0,0.0,0.0
The Damned,1969,1.0,0.0,0.0,0.0,0.0,,,,,
Alice's Restaurant,1969,1.0,0.0,1.0,0.0,0.0,,,,,
"Gaily, Gaily",1969,3.0,0.0,0.0,0.0,0.0,,,,,
The Happy Ending,1969,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
The Brothers Karamazov,1969,1.0,0.0,0.0,0.0,0.0,,,,,
The Assassination Bureau,1969,,,,,,1.0,0.0,0.0,0.0,0.0
Sweet Charity,1969,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The Battle of Neretva,1969,1.0,0.0,0.0,0.0,0.0,,,,,
"Hello, Dolly!",1969,7.0,3.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
The Big Dig,1969,,,,,,1.0,0.0,0.0,0.0,0.0
The Magic Machines,1969,2.0,1.0,0.0,0.0,0.0,,,,,
The Italian Job,1969,,,,,,1.0,0.0,0.0,0.0,0.0
King: A Filmed Record...Montgomery to Memphis,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Chariots of the Gods,1970,1.0,0.0,0.0,0.0,0.0,,,,,
My Night at Maud's,1970,1.0,0.0,0.0,0.0,0.0,,,,,
I Never Sang for My Father,1970,3.0,0.0,2.0,0.0,0.0,,,,,
Women in Love,1970,4.0,1.0,2.0,1.0,0.0,,,,,
First Love,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Jack Johnson,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Oisin,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Shut Up...I'm Crying,1970,1.0,0.0,0.0,0.0,0.0,,,,,
A Boy Named Charlie Brown,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Tristana,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Tora! Tora! Tora!,1970,5.0,1.0,0.0,0.0,0.0,,,,,
Fellini Satyricon,1970,1.0,0.0,1.0,0.0,0.0,,,,,
Airport,1970,9.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0
Joe,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Little Fauss and Big Halsey,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Time Is Running Out,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Husbands,1970,,,,,,1.0,0.0,0.0,0.0,0.0
The Customer of the Off Season,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Little Big Man,1970,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Investigation of a Citizen Above Suspicion,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Love Story,1970,7.0,1.0,5.0,0.0,0.0,7.0,5.0,5.0,3.0,1.0
The Confession,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Sunflower,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Lovers and Other Strangers,1970,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The Baby Maker,1970,1.0,0.0,0.0,0.0,0.0,,,,,
M*A*S*H,1970,5.0,1.0,3.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0
Madron,1970,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Wuthering Heights,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Borsalino,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Bloomfield,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Women In Love,1970,,,,,,3.0,1.0,2.0,0.0,0.0
Act of the Heart,1970,,,,,,1.0,0.0,0.0,0.0,0.0
Sticky My Fingers...Fleet My Feet,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Woodstock,1970,3.0,1.0,0.0,0.0,0.0,,,,,
Is It Always Right to Be Right?,1970,1.0,1.0,0.0,0.0,0.0,,,,,
Five Easy Pieces,1970,4.0,0.0,3.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0
The Further Adventures of Uncle Sam: Part Two,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Say Goodbye,1970,1.0,0.0,0.0,0.0,0.0,,,,,
The Shepherd,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Promise at Dawn,1970,,,,,,1.0,0.0,1.0,0.0,0.0
The Hawaiians,1970,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Cromwell,1970,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Puzzle of a Downfall Child,1970,,,,,,1.0,0.0,1.0,0.0,0.0
Pieces of Dreams,1970,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The Resurrection of Broncho Billy,1970,1.0,1.0,0.0,0.0,0.0,,,,,
Patton,1970,10.0,7.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0
Rider on the Rain,1970,,,,,,1.0,1.0,0.0,0.0,0.0
Something for Everyone,1970,,,,,,1.0,0.0,1.0,0.0,0.0
The Walking Major,1970,,,,,,1.0,0.0,0.0,0.0,0.0
The Virgin and the Gypsy,1970,,,,,,1.0,0.0,0.0,0.0,0.0
The Out-of-Towners,1970,,,,,,2.0,0.0,2.0,0.0,0.0
The Owl and The Pussycat,1970,,,,,,1.0,0.0,1.0,0.0,0.0
The Landlord,1970,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
A Long Way from Nowhere,1970,1.0,0.0,0.0,0.0,0.0,,,,,
The Molly Maguires,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Ryan's Daughter,1970,4.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
Paix Sur Les Champs,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Diary of a Mad Housewife,1970,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0
Let It Be,1970,1.0,1.0,0.0,0.0,0.0,,,,,
The Gifts,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Interviews with My Lai Veterans,1970,1.0,1.0,0.0,0.0,0.0,,,,,
Hoa-Binh,1970,1.0,0.0,0.0,0.0,0.0,,,,,
Darling Lili,1970,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
Investigation of a Citizen above Suspicion,1970,1.0,1.0,0.0,0.0,0.0,,,,,
Scrooge,1970,4.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0
I Never Sang For My Father,1970,,,,,,2.0,0.0,2.0,0.0,0.0
The Great White Hope,1970,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
The Andromeda Strain,1971,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Evolution,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Dodes'ka-Den,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Summer of '42,1971,4.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Shaft,1971,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Claire's Knee,1971,,,,,,1.0,0.0,0.0,0.0,0.0
