,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
244,Paix Sur Les Champs,1970,1.0,0.0,0.0,,,
245,Diary of a Mad Housewife,1970,1.0,0.0,0.0,3.0,1.0,0.0
246,Let It Be,1970,1.0,1.0,0.0,,,
247,The Gifts,1970,1.0,0.0,0.0,,,
248,Interviews with My Lai Veterans,1970,1.0,1.0,0.0,,,
249,Hoa-Binh,1970,1.0,0.0,0.0,,,
250,Darling Lili,1970,3.0,0.0,0.0,3.0,1.0,0.0
251,Investigation of a Citizen above Suspicion,1970,1.0,1.0,0.0,,,
252,Scrooge,1970,4.0,0.0,0.0,5.0,1.0,0.0
253,I Never Sang For My Father,1970,,,,2.0,0.0,0.0
254,The Great White Hope,1970,2.0,0.0,0.0,1.0,0.0,0.0
255,The Andromeda Strain,1971,2.0,0.0,0.0,1.0,0.0,0.0
256,Evolution,1971,1.0,0.0,0.0,,,
257,Dodes'ka-Den,1971,1.0,0.0,0.0,,,
258,Summer of '42,1971,4.0,1.0,0.0,3.0,0.0,0.0
259,Shaft,1971,2.0,1.0,0.0,2.0,1.0,0.0
260,Claire's Knee,1971,,,,1.0,0.0,0.0
261,Bless the Beasts & Children,1971,1.0,0.0,0.0,,,
262,Sunday Bloody Sunday,1971,4.0,0.0,0.0,2.0,1.0,0.0
263,Friends (Foreign Language Film),1971,,,,1.0,0.0,0.0
264,Straw Dogs,1971,1.0,0.0,0.0,,,
265,Sentinels of Silence,1971,2.0,2.0,0.0,,,
266,Going Home,1971,,,,1.0,0.0,0.0
267,The Numbers Start with the River,1971,1.0,0.0,0.0,,,
268,On Any Sunday,1971,1.0,0.0,0.0,,,
269,Harold and Maude,1971,,,,2.0,0.0,0.0
270,The Last Picture Show,1971,6.0,1.0,0.0,4.0,1.0,0.0
271,The French Connection,1971,8.0,5.0,1.0,4.0,3.0,1.0
272,Honky,1971,,,,1.0,0.0,0.0
273,Good Morning,1971,1.0,0.0,0.0,,,
274,Tchaikovsky,1971,2.0,0.0,0.0,1.0,0.0,0.0
275,The Garden of the Finzi Continis,1971,2.0,1.0,0.0,,,
276,The Policeman,1971,1.0,0.0,0.0,1.0,1.0,0.0
277,Fiddler on the Roof,1971,8.0,3.0,0.0,4.0,2.0,1.0
278,The Emigrants,1971,1.0,0.0,0.0,,,
279,The Hospital,1971,2.0,1.0,0.0,3.0,1.0,0.0
280,Death in Venice,1971,1.0,0.0,0.0,,,
281,Somebody Waiting,1971,1.0,0.0,0.0,,,
282,When Dinosaurs Ruled the Earth,1971,1.0,0.0,0.0,,,
283,Sometimes a Great Notion,1971,2.0,0.0,0.0,,,
284,What's the Matter with Helen?,1971,1.0,0.0,0.0,,,
285,Willy Wonka and the Chocolate Factory,1971,1.0,0.0,0.0,,,
286,Nicholas and Alexandra,1971,6.0,2.0,0.0,1.0,0.0,0.0
287,Klute,1971,2.0,1.0,0.0,2.0,1.0,0.0
288,The Selfish Giant,1971,1.0,0.0,0.0,,,
289,Carnal Knowledge,1971,1.0,0.0,0.0,3.0,1.0,0.0
290,The Crunch Bird,1971,1.0,1.0,0.0,,,
291,The Conformist,1971,1.0,0.0,0.0,1.0,0.0,0.0
292,Diamonds Are Forever,1971,1.0,0.0,0.0,,,
293,"$1,000,000 Duck",1971,,,,1.0,0.0,0.0
294,Kotch,1971,4.0,0.0,0.0,4.0,1.0,0.0
295,The Go-Between,1971,1.0,0.0,0.0,1.0,0.0,0.0
296,A New Leaf,1971,,,,2.0,0.0,0.0
297,The Boy Friend,1971,1.0,0.0,0.0,2.0,1.0,0.0
298,McCabe & Mrs. Miller,1971,1.0,0.0,0.0,,,
299,"Mary, Queen of Scots",1971,5.0,0.0,0.0,4.0,0.0,0.0
300,Investigation of a Citizen above Suspicion,1971,1.0,0.0,0.0,,,
301,The Hellstrom Chronicle,1971,1.0,1.0,0.0,,,
302,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,1971,1.0,0.0,0.0,,,
303,The RA Expeditions,1971,1.0,0.0,0.0,,,
304,The Rehearsal,1971,1.0,0.0,0.0,,,
305,The Sorrow and the Pity,1971,1.0,0.0,0.0,,,
306,Such Good Friends,1971,,,,1.0,0.0,0.0
307,Adventures in Perception,1971,1.0,0.0,0.0,,,
308,Willy Wonka & The Chocolate Factory,1971,,,,1.0,0.0,0.0
309,The African Elephant,1971,,,,2.0,0.0,0.0
310,Le Mans,1971,,,,1.0,0.0,0.0
311,Art Is...,1971,1.0,0.0,0.0,,,
312,The Red Tent,1971,,,,1.0,0.0,0.0
313,Long Ago Tomorrow,1971,,,,2.0,0.0,0.0
314,Star Spangled Girl,1971,,,,1.0,0.0,0.0
315,Plaza Suite,1971,,,,2.0,0.0,0.0
316,A Clockwork Orange,1971,4.0,0.0,0.0,3.0,0.0,0.0
317,Alaska Wilderness Lake,1971,1.0,0.0,0.0,,,
318,Play Misty for Me,1971,,,,1.0,0.0,0.0
319,Bedknobs and Broomsticks,1971,5.0,1.0,0.0,1.0,0.0,0.0
320,To Die of Love,1971,,,,1.0,0.0,0.0
321,A Christmas Carol,1972,1.0,1.0,0.0,,,
322,The Stepmother,1972,1.0,0.0,0.0,,,
323,The Silent Revolution,1972,1.0,0.0,0.0,,,
324,The Candidate,1972,2.0,1.0,0.0,,,
325,The Dawns Here Are Quiet,1972,1.0,0.0,0.0,,,
326,The Hot Rock,1972,1.0,0.0,0.0,,,
327,Pete 'n' Tillie,1972,2.0,0.0,0.0,3.0,0.0,0.0
328,Norman Rockwell's World...An American Dream,1972,1.0,1.0,0.0,,,
329,Elvis on Tour,1972,,,,1.0,1.0,0.0
330,Sapporo Winter Olympics,1972,,,,1.0,0.0,0.0
