film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture,TMDb Score
Last Summer,1969,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.068
People Soup,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Secret of Santa Vittoria,1969,2.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,1.0,6.8
An Impression of John Steinbeck: Writer,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
The Reivers,1969,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.474
In the Year of the Pig,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Fellini Satyricon,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.747
The Prime of Miss Jean Brodie,1969,2.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,6.858
Blake,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Olympics in Mexico,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
Generation,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.6
Girls in the Sun,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.667
Easy Rider,1969,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.07
Before the Mountain Was Moved,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
If....,1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.1
"If It's Tuesday, This Must Be Belgium",1969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.571
Anne of the Thousand Days,1969,10.0,1.0,4.0,0.0,0.0,7.0,4.0,5.0,3.0,1.0,7.032
The Wild Bunch,1969,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.613
The Wolf Men,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butch Cassidy and the Sundance Kid,1969,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.605
"Krakatoa, East of Java",1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.922
Ådalen '31,1969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
John and Mary,1969,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,5.983
Z,1969,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.904
